StudyID,StudyID_display,Year,Age_Group,Subgroup,Device_Brand,Device_Type,Country,Sampling_Rate_Hz,Sleep_Measurement_Type,Behavior,Mean_Type,Minutes
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,Sleep,Arithmetic,407.66
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,Sleep,Geometric,413.424
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,SB,Arithmetic,579.02
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,SB,Geometric,584.352
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,LPA,Arithmetic,422.21
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,LPA,Geometric,420.912
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,MVPA,Arithmetic,31.1
"Chastin, Palarea-Albaladejo, Dontje (2015)","Chastin, Palarea-Albaladejo, Dontje (2015)",2015,Adult,,Actigraph,Accelorometer,USA,NR,Subjective only,MVPA,Geometric,21.312
"Carson, Tremblay, Chaput (2016)","Carson, Tremblay, Chaput (2016)",2016,,,Actical,Accelorometer,Canada,NR,Subjective only,Sleep,Arithmetic,
"Carson, Tremblay, Chaput (2016)","Carson, Tremblay, Chaput (2016)",2016,,,Actical,Accelorometer,Canada,NR,Subjective only,Sleep,Geometric,578.6
