StudyID,MasterListNumber,FullTextExtraction_Number,longDBName,Year,title,Data Source,Year_Data,Country,Design,Age_Group,SampleSize,AgeMean,AgeSD,PercentFemale,PercentNonWhite,Recruitment,Device_Type,Device_Brand,Device_Model,Device_Location,Device_side,Sampling_Rate_Hz,Raw_Epoch,Sleep_Epoch_Secs,Wake_Epoch_Secs,Wear_Days_Instructed,Day_Cycle_Definition,Excluded_Transition_Days,Wear_Time_Per_Day_Mean,Valid_Days_Required,Valid_Hours_Per_Day,Valid_SB_Max_per_Day,Valid_sleep_min_per_day,Weekend_Day_Required,Weighting_Scheme,NonWear_Criterion,NonWear_Handling,WakeTime_Objective_Yes_No,IfWakeSubjective_questionnaire_used,Sleep_Objective_Yes_No,SleepSubjective_questionnaire_used,Sleep_Measurement_Type,Sleep_Detection_Method,Cutpoints_Used_YesorNo,Cutpoint_Type,SB_Threshold,LPA_Threshold,MVPA_Threshold,Extra_behav_Threshold,Extra_Behav_Name,CoDA_Models_Amount,CODA_Parts_Number,CODA_Parts,CoDA_Additional_Parts_Number,CoDA_Additional_Parts_Number2,Zero_Handling_Reported_Yes_No,Zero_Handling_Method,Zero_Replacement_Value_in_secs,ILR_Transformation_Type,Transformation_Details,CoDA_Packages_Used,Data_Closure_24hr_Sum,Closure_Method,Subgroup,Subgroup_Sample_Size,Independent_Variable,Outcome_Variable,Covariates,Compositional_Isotemporal_Substitution_Applied_Yes_No,Time_Reallocation_Increment_minutes,Stratified_Analyses,Sensitivity_Analyses,Bootstrap,Main_Findings
"Chastin, Palarea-Albaladejo, Dontje (2015)",77,1,MEDLINE,2015,"Combined Effects of Time Spent in Physical Activity, Sedentary Behaviors and Sleep on Obesity and Cardio-Metabolic Health Markers: A Novel Compositional Data Analysis Approach.",NHANES, 2005-2006,USA,Cross-sectional,Adult,1937,43,11,51,52.6,Community,Accelorometer,Actigraph,7164,Hip,NR,NR,60,,60,7,NR,NR,NR,5,10,NR,NR,NR,NR,NR,NR,Yes,,No,Single-item sleep duration question,Subjective only,"""How much sleep do you actually get at night on weekdays or workdays"" as integer from 1 to 24 hours",Yes,"Standard count per minutes thresholds (Freedson et al, 1998)",<100 counts/min,100 to 1951 counts/min,³1952 counts/min,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,in S2 File (supplementary material),NR,1,"Sleep (self-report) and accelerometer-derived SB, LIPA, MVPA expressed as proportions of 24 h and normalized so the sum = 1",,,24-hour time-use composition (ILR coordinates),BMI; waist circumference; systolic blood pressure; diastolic blood pressure; HDL; LDL; triglycerides; CRP; plasma glucose; plasma insulin; HOMA,Age; Sex; Race/ethnicity; Marital status; Education; Work status; Ratio of family income to poverty level; Smoking status; Alcohol consumption; Caffeine intake; Total energy intake; Saturated fat intake; Self-reported health (SF-12); Previous diagnosis of cancer; Previous diagnosis of diabetes; Previous diagnosis of cardiovascular disease; Previous diagnosis of stroke; Current use of diabetic medication; Current use of antihypertensive medication; Current use of lipidemic medication,Yes,10,BMI; Waist circumference; Blood pressure; HDL; LDL; Triglycerides; Plasma glucose; Plasma insulin; HOMA categories,Removed 10% of cases at random to test stability of model estimates,No,
"Carson, Tremblay, Chaput (2016)",11,2,MEDLINE,2016,"Associations between sleep duration, sedentary time, physical activity, and health indicators among Canadian children and youth using compositional analyses.",Canadian Health Measures Survey (CHMS) cycles 1 to 3," Cycle 1 (2007-2009), Cycle 2 (2009-2011), Cycle 3 (2012-2013)",Canada,Cross-sectional,Children; Adolescents,4169,11.4,0.1,48.7,NR,Community,Accelorometer,Actical,NR,Waist,NR,NR,60,,60,7,NR,NR,NR,4,10,NR,NR,NR,NR,"³60 consecutive minutes of zero counts, with allowance for 2 min of counts between zero and 100",NR,Yes,,No,Single-item sleep duration question,Subjective only,"Self-reported (response to ""How many hours do you (your child) usually spend sleeping in a 24-hour period, excluding time spent resting."")",Yes,Count per minutes thresholds (Colley et al. 2010),<100 counts per minute ,100-1499 cpm,³1500 cpm,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,NR,NR,1,NR,,,24-hour time-use composition (ILR coordinates),zBMI; Waist circumference; Blood pressure; Behavioural strengths and difficulties; Aerobic fitness; Triglycerides; High-density lipoprotein cholesterol; C-reactive protein; Insulin,Age; Sex; Highest household education,Yes,10,BMI z-score groups; All other health indicators stratified by quartiles,No,Used to estimate standard errors and coefficients of variation to account for survey design effects),
"Fairclough, Dumuid, Taylor (2017)",27,3,MEDLINE,2017,"Fitness, fatness and the reallocation of time between children's daily movement behaviours: an analysis of compositional data.", Active Schools: Skelmersdale study,2016,England,Cross-sectional,Children,169,10.3,0.3,50.3,NR,School,Accelorometer,ActiGraph,GT9X triaxial accelerometer,Wrist,Non-dominant,30,1,NR,60,7,NR,NR,23.4,3,16,NR,NR,NR,NR,"Standard deviation and value range of each accelerometer axis, calculated for moving windows of 60 min with 15 min increments",Replaced by the mean value calculated from measurement on other days at the same time of day,Yes,,Yes,,Objective only,van Hees algorithm (GGIR R package),Yes,Hildebrand et al. prediction equations,2 METs ,2Ð4 METs,³4 METs,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,NR,compositions,1440,NR,Full,169,,,,,,,,,
"Fairclough, Dumuid, Taylor (2017)",27,3,MEDLINE,2017,"Fitness, fatness and the reallocation of time between children's daily movement behaviours: an analysis of compositional data.", Active Schools: Skelmersdale study,2016,England,Cross-sectional,Children,169,10.3,0.3,50.3,NR,School,Accelorometer,ActiGraph,GT9X triaxial accelerometer,Wrist,Non-dominant,30,1,NR,60,7,NR,NR,23.4,3,16,NR,NR,NR,NR,"Standard deviation and value range of each accelerometer axis, calculated for moving windows of 60 min with 15 min increments",Replaced by the mean value calculated from measurement on other days at the same time of day,Yes,,Yes,,Objective only,van Hees algorithm (GGIR R package),Yes,Hildebrand et al. prediction equations,2 METs ,2Ð4 METs,³4 METs,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,NR,compositions,1440,NR,Underweight,15,,,,,,,,,
"Fairclough, Dumuid, Taylor (2017)",27,3,MEDLINE,2017,"Fitness, fatness and the reallocation of time between children's daily movement behaviours: an analysis of compositional data.", Active Schools: Skelmersdale study,2016,England,Cross-sectional,Children,169,10.3,0.3,50.3,NR,School,Accelorometer,ActiGraph,GT9X triaxial accelerometer,Wrist,Non-dominant,30,1,NR,60,7,NR,NR,23.4,3,16,NR,NR,NR,NR,"Standard deviation and value range of each accelerometer axis, calculated for moving windows of 60 min with 15 min increments",Replaced by the mean value calculated from measurement on other days at the same time of day,Yes,,Yes,,Objective only,van Hees algorithm (GGIR R package),Yes,Hildebrand et al. prediction equations,2 METs ,2Ð4 METs,³4 METs,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,NR,compositions,1440,NR,Normal weight,115,,,,,,,,,
"Fairclough, Dumuid, Taylor (2017)",27,3,MEDLINE,2017,"Fitness, fatness and the reallocation of time between children's daily movement behaviours: an analysis of compositional data.", Active Schools: Skelmersdale study,2016,England,Cross-sectional,Children,169,10.3,0.3,50.3,NR,School,Accelorometer,ActiGraph,GT9X triaxial accelerometer,Wrist,Non-dominant,30,1,NR,60,7,NR,NR,23.4,3,16,NR,NR,NR,NR,"Standard deviation and value range of each accelerometer axis, calculated for moving windows of 60 min with 15 min increments",Replaced by the mean value calculated from measurement on other days at the same time of day,Yes,,Yes,,Objective only,van Hees algorithm (GGIR R package),Yes,Hildebrand et al. prediction equations,2 METs ,2Ð4 METs,³4 METs,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,NR,compositions,1440,NR,Overweight/obese,39,24-hour time-use composition (ILR coordinates), zBMI; %WHtR; VO_ peak,Sex; Age; IMD decile (Neighbourhood-level socio-economic status),Yes,5,Weight status,No,No,
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Full,1728,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Girls,968,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Boys,760,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
"Dumuid, Stanford, Pedi_i_ (2018)",36,4,MEDLINE,2018,"Adiposity and the isotemporal substitution of physical activity, sedentary time and sleep among school-aged children: a compositional data analysis approach."," International Study of Childhood Obesity, Lifestyle and the Environment (ISCOLE)",2011-2013,"Australia, Canada, United Kingdom, Finland",Cross-sectional,Children,1728,NR,NR,56,NR,School,Accelorometer,Actigraph,GT3X+,Hip,Right,NR,1,60,15,7,NR,NR,22.8,4,10,NR,NR,1,5 weekday : 2 weekend, ³20 consecutive minutes of 0 activity counts,Removed,Yes,,Yes,,Objective only,Fully automated algorithm (ActiLife software),Yes,Evenson et al. (2008),² 25 counts / 15 s,26Ð573 counts / 15 s,³ 574 counts / 15 s,,,1,4.0,Sleep; SB; LPA; MVPA,,,No,NR,NR,ILR,In additional file1,Compositions; robCompositions,1440,NR,Normal weight boys,520,24-hour time-use composition (ILR coordinates),Body fat%,Highest education level of either parent; Number of parents in the home; Number of siblings in the home,Yes,30,Sex; Weight status,No,No,"Reallocating time from MVPA to other behaviors unfavorably impacts body fat%; the compositional model is preferred over the traditional model as its estimates correctly account for the asymmetry, non-linearity, and starting activity composition of the child."
